id,name,website,booking_url,venue_type,directory_status,access_model,sauna_fit,sauna_type,heat_source,amenities,city,state,address,email,phone,price_from_mxn,price_details,admission_notes,hours,featured_experiences,operator_entity,source_quality,source_urls,evidence_notes,last_verified
mxp-001,Koti Wellness,https://www.kotiwellness.com/,https://www.kotiwellness.com/,contrast_therapy_studio,core,bookable_private_and_social,verified,"traditional dry; infrared; steam","traditional dry sauna 80–90°C; infrared; steam 40–50°C","cold plunge; mineral hot soak; rain shower; breathwork","Ciudad de México","Ciudad de México","Condesa: Veracruz 73; Roma Norte: Coahuila 44 Local C; Lomas: Monte Everest 635 Oficina 201",PENDIENTE,PENDIENTE,333.33,"Starter Pack MXN 1,000 for 3 x 60-min Condesa/Lomas sessions; private starter MXN 2,000 for 3; prices/offers subject to change","Public booking; private and social formats","PENDIENTE","contrast therapy; traditional dry/infrared sauna; social sessions; monthly events","Koti Wellness S.A. de C.V.",A,"https://www.kotiwellness.com/; https://www.kotiwellness.com/t-c","Three live CDMX locations and a July 2026 Polanco opening announcement. Confirm single-session price before display.",2026-07-27
mxp-002,KURHAUS,https://kurhaus.mx/,https://kurhaus.mx/,contrast_therapy_studio,core,bookable_public,verified,"dry sauna; Aufguss","85°C dry sauna with heated stones used for Aufguss","cold plunge; garden rest; sound-healing events","Ciudad de México","Ciudad de México","Tabasco 149, Roma Norte",hola@kurhaus.mx,PENDIENTE,PENDIENTE,"Public event example MXN 700; standard session price should be checked in booking flow","Public booking; Quick Reset 55 min and Deep Reset 100 min","Daily schedule published; entry times vary","German-style sauna ritual; Aufguss; group events","PENDIENTE",A,"https://kurhaus.mx/; https://kurhaus.mx/event/nomads-x-kurhaus-3/register","Strong standalone sauna venue. Confirm current public session price and any gender-specific sessions.",2026-07-27
mxp-003,OWA Wellness,https://owawellness.com/,https://owawellness.com/,contrast_therapy_studio,core,bookable_private_and_social,verified,"traditional sauna","traditional sauna; heat source not disclosed","cold plunges; in-cabin shower; lockers; drinks; zero-gravity chair; pressotherapy","Ciudad de México","Ciudad de México","Sinaloa 49, Roma Norte, 06700",hello@owawellness.com,"WhatsApp +52 56 1029 7637",850,"Social Sauna & Plunge MXN 850; Private Sauna & Plunge MXN 1,400","Bookable public social or private sessions; memberships also available","Mon–Sun 8:00–21:00","social sauna & plunge; private sauna & plunge; recovery technologies","PENDIENTE",A,"https://owawellness.com/","One of the clearest current price and access pages in CDMX.",2026-07-27
mxp-004,Casa Misogi Wellness,https://casamisogi.com/,https://casamisogi.com/,contrast_therapy_studio,core,bookable_public,verified,"sauna","sauna heat source not disclosed","cold plunge; contrast circuit","Ciudad de México","Ciudad de México","Emilio Castelar 149, Ático Polanco",PENDIENTE,PENDIENTE,500,"50-min single session MXN 500; early-bird MXN 300; first visit MXN 450; 5-session MXN 2,250; membership MXN 3,000","Bookable public sessions and memberships","Mon–Sun 8:00–21:00; early-bird price references 7:00","sauna + ice bath contrast ritual","PENDIENTE",A,"https://casamisogi.com/; https://casamisogi.com/nosotros/","Public prices appear current but should be refreshed before launch.",2026-07-27
mxp-005,ReWire Lab,https://www.rewire.mx/,https://www.rewire.mx/,bathhouse_recovery_club,core,bookable_public_and_membership,verified,"sauna; steam","heat source not disclosed","ice bath; steam; detox shower; breathwork; sound; movement","Ciudad de México","Ciudad de México","Ámsterdam 317, Hipódromo, Cuauhtémoc, 06100",PENDIENTE,PENDIENTE,300,"50-min sauna-or-ice-bath day pass MXN 300; 50-min contrast MXN 500; 90-min contrast MXN 700; memberships from MXN 2,000","Day passes and memberships; site positions it as a habit system rather than a drop-in spa","Weekdays 6:00–21:00; weekends 9:00–15:00","bathhouse; sauna + ice bath; breathwork; sound journeys","PENDIENTE",A,"https://www.rewire.mx/; https://www.rewire.mx/old-home","Some store inventory may be time-bound; verify session availability before publishing.",2026-07-27
mxp-006,Spa Marquis Reforma,https://www.marquisreforma.com/spa,https://www.marquisreforma.com/spa,hotel_day_spa,core,external_day_pass,verified,"sauna; steam","heat source not disclosed","indoor pool; jacuzzi; rain shower; relaxation room; lockers","Ciudad de México","Ciudad de México","Paseo de la Reforma 465, Col. Cuauhtémoc, 06500",reservaciones@marquishotels.com,"+52 55 5229 1212",1200,"External Day Pass MXN 1,200; hotel guest wet-area access MXN 900","Adults only; reserve/confirm access conditions. Amenities page says chromotherapy sauna is in men's area only.",PENDIENTE,"sauna; steam; jacuzzi; indoor pool; hydrotherapy","Hotel Marquis Reforma",A,"https://www.marquisreforma.com/spa; https://www.marquisreforma.com/descripcion-general/servicios-amenidades","Price and day-pass status are unusually explicit. Confirm gendered sauna policy for directory display.",2026-07-27
mxp-007,STIC Baños de Vapor & Spa,https://www.sticsauna.com/,https://www.sticsauna.com/,bathhouse_spa,core,adult_men_only,verified,"sauna; steam bath","heat source not disclosed","massage; video bar","Monterrey",Nuevo León,"Calle Héroes del 47 815 Centro, 64000",stic_secc26@hotmail.com,"81 8375 7690",PENDIENTE,"Price not published","Exclusive service for adult men; wellness/bathhouse listing only","Mon–Sat 6:00–21:00; Sun 6:00–18:00","sauna; steam; Turkish/Russian/Swedish massage","PENDIENTE",A,"https://www.sticsauna.com/","Include with clear adult men-only access label; do not market it as a mixed-gender studio.",2026-07-27
mxp-008,Papaya Sauna,https://www.papayasauna.com/,https://www.papayasauna.com/,mobile_sauna,core,bookable_public,verified,"mobile sauna","heat source not disclosed","PENDIENTE","San Pedro Garza García",Nuevo León,"Black Bear Park, Candelaria 1114, Prados de La Sierra, 66230",PENDIENTE,PENDIENTE,PENDIENTE,"One-hour session bookable online; price shown only in booking flow","Public booking; confirm whether it remains at the listed host location","PENDIENTE","first mobile sauna in Monterrey","PENDIENTE",A,"https://www.papayasauna.com/","Validate current operating schedule and session pricing before launch.",2026-07-27
mxp-009,SPA by JW Marriott Monterrey Valle,https://www.marriott.com/,https://www.marriott.com/,hotel_day_spa,core,external_spa_booking,verified,"sauna; steam","heat source not disclosed","ice fountain; Swiss shower; heated lounge bed; relaxation pod; whirlpool","San Pedro Garza García",Nuevo León,"Avenida del Roble 670, Col. Valle del Campestre, 66265",PENDIENTE,"+52 81 8850 6700; WhatsApp +52 81 1070 5673",700,"Wet-area circuit 30 min MXN 700; 50 min MXN 1,000; 70 min MXN 1,300; 90 min MXN 1,600","External callers may book with advance reservation; minimum age 16","PENDIENTE","sauna; steam; ice fountain; Swiss shower; spa treatments","JW Marriott Monterrey Valle",A,"https://mtyjw.s3.ca-central-1.amazonaws.com/MTYJW_MenuSPA_EN.pdf","Strong official menu evidence; verify price currency and current menu date before publication.",2026-07-27
mxp-010,Arena Hybrid Club,https://arenahybridclub.com/,https://arenahybridclub.com/,fitness_recovery_club,core,membership_and_single_recovery_session,verified,"wood sauna","wood sauna shown; exact heater not stated","cold plunge; compression boots; strength and HYROX training","Aguascalientes",Aguascalientes,"Blvd. Luis Donaldo Colosio Murrieta 406, Puerto las Hadas, 20110",PENDIENTE,"449 769 7866",400,"Single recovery session MXN 400; 4 sessions MXN 1,400; 8 sessions MXN 2,400","Recovery circuit is bookable alongside memberships","PENDIENTE","wood sauna; cold plunge; recovery circuit","PENDIENTE",A,"https://arenahybridclub.com/","Current public commercial access and price evidence.",2026-07-27
