id,category,visual_angle,title,photographer,source_page,direct_image_url,recommended_use,rights_note
1,sauna,moody lifestyle,"Woman in sauna",Andrea Piacquadio,https://www.pexels.com/photo/woman-in-sauna-3967280/,https://images.pexels.com/photos/3967280/pexels-photo-3967280.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,hero or feature image,"Pexels license; identifiable person, avoid medical claims or implied endorsement"
2,sauna,restful lifestyle,"Woman lying down in sauna room",Andrea Piacquadio,https://www.pexels.com/photo/woman-lying-down-in-sauna-room-3967291/,https://images.pexels.com/photos/3967291/pexels-photo-3967291.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,rest and recovery article,"Pexels license; identifiable person"
3,sauna,interior design,"Interior of sauna",Max Vakhtbovych,https://www.pexels.com/photo/interior-of-sauna-8092430/,https://images.pexels.com/photos/8092430/pexels-photo-8092430.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,clean interior header,"Pexels license; inspect for visible product marks"
4,sauna,interior design,"Interior of a sauna",HUUM sauna heaters,https://www.pexels.com/photo/interior-of-a-sauna-25358307/,https://images.pexels.com/photos/25358307/pexels-photo-25358307.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,design and materials story,"Pexels license; visible brand/product association may need review"
5,sauna,wellness portrait,"Woman enjoying relaxing sauna experience",HUUM sauna heaters,https://www.pexels.com/photo/woman-enjoying-relaxing-sauna-experience-34097645/,https://images.pexels.com/photos/34097645/pexels-photo-34097645.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,wellness routine post,"Pexels license; visible brand/product association may need review"
6,sauna,heat ritual,"Modern sauna heater",HUUM sauna heaters,https://www.pexels.com/photo/modern-sauna-heater-19404495/,https://images.pexels.com/photos/19404495/pexels-photo-19404495.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,heater or sauna technology post,"Pexels license; visible brand/product association may need review"
7,sauna,wellness portrait,"Woman relaxing in modern indoor sauna",HUUM sauna heaters,https://www.pexels.com/photo/woman-relaxing-in-modern-indoor-sauna-34097630/,https://images.pexels.com/photos/34097630/pexels-photo-34097630.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,portrait feature or social crop,"Pexels license; visible brand/product association may need review"
8,sauna,quiet luxury,"Relaxing woman in modern sauna retreat",HUUM sauna heaters,https://www.pexels.com/photo/relaxing-woman-in-modern-sauna-retreat-34097635/,https://images.pexels.com/photos/34097635/pexels-photo-34097635.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,quiet luxury or retreat article,"Pexels license; visible brand/product association may need review"
9,sauna,shared ritual,"Cozy sauna experience with steam and warmth",HUUM sauna heaters,https://www.pexels.com/photo/cozy-sauna-experience-with-steam-and-warmth-31092906/,https://images.pexels.com/photos/31092906/pexels-photo-31092906.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,couple or social wellness story,"Pexels license; identifiable people and visible brand/product association"
10,sauna,masculine wellness,"Man inside a sauna",Esteban Garcia,https://www.pexels.com/photo/man-inside-a-sauna-13542803/,https://images.pexels.com/photos/13542803/pexels-photo-13542803.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,mens wellness or recovery post,"Pexels license; identifiable person"
