id,name,aliases,website,supplier_type,directory_status,traditional_hot_sauna_fit,custom_build,wood_build_evidence,heater_types,wood_species,installation_scope,delivery_scope,primary_city,state,additional_locations,email,phone,public_contact_person,contact_person_role,established_year,experience_claimed,featured_projects,price_tier_1_5,price_basis,source_quality,source_urls,evidence_notes,last_verified
mx-001,Sauna & Steam,Sauna & Steam Diseño / Espacio,https://saunasteam.com.mx/,manufacturer_installer,core,verified,true,"Custom residential, commercial, exterior and disassemblable saunas; wood-lined rooms; volcanic stone and Sauna & Steam heat units","electric heat unit with volcanic stones; wood-fired stove not publicly confirmed","treated high-quality wood; species not stated","design, fabrication, installation, repair and maintenance","whole Mexico claimed; North and South America project capability claimed",Ciudad de México,CDMX,PENDIENTE,PENDIENTE,55 5563 2834,PENDIENTE,PENDIENTE,1970,"50+ years claimed; LinkedIn lists 1970 foundation","commercial hotels, sports clubs, luxury condos, spas, gyms; public gallery without project names",4,"editorial premium custom tier; no public price","A","https://saunasteam.com.mx/; https://saunasteam.com.mx/saunas; https://saunasteam.com.mx/aviso-de-privacidad; https://www.waze.com/live-map/directions/mexico/mexico-city/mexico-city/sauna-and-steam-diseno-espacio","Strongest historical national candidate. Phone is from public map listing; sales email not publicly exposed, only legal/privacy email.",2026-07-27
mx-002,SAUNAMEX / SAUNASOL,SAUNAMEX; SAUNASOL,https://www.saunamex.com.mx/,manufacturer,core,probable,true,"Made-to-measure saunas in walnut, maple, mahogany and pine","made-in-Mexico stainless thermal units 2–15 kW; volcanic-rock use implied by product category; wood stove not confirmed","walnut; maple; mahogany; pine","manufacture; shipping terms published; installation scope should be confirmed","Mexico shipping claimed; installation coverage not clearly stated",Ciudad de México,CDMX,PENDIENTE,PENDIENTE,"55 5318 5524; 55 6721 0340","Araceli Giles Lara","privacy/legal responsible; CEO role not stated",PENDIENTE,"50+ years claimed; third-party listing reports 1950 but not treated as confirmed","SAUNASOL made-to-measure line; public product gallery",3,"editorial mid-market custom tier; no public price","A","https://www.saunamex.com.mx/; https://www.saunamex.com.mx/saunasol/; https://www.saunamex.com.mx/saunasol/unidades-t%C3%A9rmicas/; https://www.saunamex.com.mx/contacto/; https://www.saunamex.com.mx/aviso-de-privacidad/","Publicly documented Mexican thermal-unit manufacturing and custom wood saunas. Verify national installation and stove options.",2026-07-27
mx-003,AquaSteam Baños Sauna,AquaSteam; Aquasteam Baños Sauna y Generadores de Vapor,https://www.aquasteam.mx/,manufacturer_installer,core,verified,true,"Custom residential and commercial sauna rooms; wood-lined walls, floor and ceiling; national and imported woods","national heat unit with volcanic stones; electric/inferred from resistive unit; wood stove not confirmed","national and imported woods; poplar and tzalam shown in product references","design, manufacture, installation, maintenance and repair","32 states / whole Mexico claimed",Atizapán de Zaragoza,Estado de México,PENDIENTE,PENDIENTE,"55 5363 0607; 55 5373 2020; 55 5373 0477; 55 5373 6734; 55 2121 2461",PENDIENTE,PENDIENTE,PENDIENTE,"28–30 years claimed; site has inconsistent counters","1,500+ saunas installed claimed; residential and commercial examples; product pages for poplar/tzalam/cedar",3,"editorial mid-market custom tier; no public price","A","https://www.aquasteam.mx/saunas-aquasteam; https://sitioarevision.com/andres/aquasteam/index.php; https://www.sitioarevision.com/andres/aquasteam/banos_sauna.php; https://www.aquasteam.mx/aliados-aquasteam","Very strong technical fit and national coverage claim. Resolve 28 vs 30 years before publishing.",2026-07-27
mx-004,SaunaSystems,Sauna Systems,https://www.saunasystems.mx/,manufacturer_installer,core,probable,true,"Residential and commercial custom saunas made with selected woods; imported materials","electric sauna thermal units; stones not explicitly stated on primary page","selected woods; species not stated","sale, custom fabrication, installation, service and spare parts","whole Mexico installation claimed",Ciudad de México,CDMX,"Juriquilla / Querétaro",[email protected],55 1152 8485,PENDIENTE,PENDIENTE,PENDIENTE,"Member since 2023 on Construex; experience years not published","residential and commercial custom sauna models; no named project list",3,"editorial mid-market custom tier; no public price","B","https://www.saunasystems.mx/; https://www.construex.com.mx/exhibidores/sauna_systems; https://www.construex.com.mx/exhibidores/sauna_systems/producto/saunas_queretaro","Official site claims national installation, while public contact is corroborated by Construex. Confirm traditional stone-heater specification and direct national delivery.",2026-07-27
mx-005,SISU Saunas y Vapores,SISU; Saunas y Vapores SISU,https://saunasyvaporessisu.com.mx/,manufacturer_installer,core,verified,true,"Made-to-measure wood cabins with wood-lined walls, floor and ceiling; national and imported woods","heat unit with volcanic stones and guard; digital controls; wood stove not confirmed","national and imported woods; species not stated","design, fabrication and sauna/vapor installation","coverage not explicitly stated; nationwide service needs confirmation",Xochimilco,CDMX,PENDIENTE,PENDIENTE,55 2729 4045; 55 7266 0084; 55 9057 9860; 55 9057 9859,José Saldivar,owner named in privacy notice; CEO role not stated,PENDIENTE,experience years not published,"two-person; residential; commercial; hotel; spa; club; development projects",3,"editorial mid-market custom tier; no public price","A","https://saunasyvaporessisu.com.mx/; https://saunasyvaporessisu.com.mx/contacto/; https://saunasyvaporessisu.com.mx/aviso-de-privacidad-2/","Excellent traditional-hot fit. Verify national delivery before labeling as a nationwide supplier.",2026-07-27
mx-006,Saunas Oasis,Saunas Oasis,https://www.saunasoasis.com/,manufacturer_installer,core,probable,true,"Custom manufacture with treated woods, tempered glass, detailed plans, cutting, assembly and installation","electric heaters explicitly listed; volcanic-stone/wood-fired options not confirmed","treated woods; cedar red, poplar and mahogany listed","design, manufacture, installation and warranty","whole Mexico installation claimed",Milpa Alta,CDMX,PENDIENTE,PENDIENTE,"55 9214 5897; 55 3411 3399; WhatsApp 55 4835 3138",PENDIENTE,PENDIENTE,PENDIENTE,"experience years not published","custom residential and commercial saunas; no named clients",4,"editorial premium custom tier based on materials, warranty and national installation claim; no public price","A","https://www.saunasoasis.com/","Public email is masked by the site; collect a readable sales email directly. Traditional hot fit is probable but stove/stone details need confirmation.",2026-07-27
mx-007,Sun Sauna,Sun Sauna México; Sun Sauna Residencial,https://sunsauna.mx/,manufacturer_installer,core,verified,true,"Made-to-measure wood saunas; traditional and hybrid products; customized woods","traditional hot dry heat with hot stones; hybrid infrared; wood stove not confirmed","tzalam; teak; walnut; camaru; poplar; red oak; mahogany; tornillo","design through installation; maintenance and support","anywhere in Mexico claimed",Tlalnepantla de Baz,Estado de México,PENDIENTE,PENDIENTE,55 1511 5159,"Sandra & Antonio","names shown in contact/footer; role not stated",PENDIENTE,experience years not published,"Club Libanés; Áuriga San Pedro; traditional red cedar + Himalayan salt; poplar hybrid designs",3,"editorial mid-market custom tier; no public price","A","https://sunsauna.mx/; https://sunsauna.mx/about/; https://sunsauna.mx/productos/; https://sunsauna.mx/contact/","One of the clearest product-fit pages. Confirm names/roles and whether delivery includes installation in all states.",2026-07-27
mx-008,Sauna Stilo,Sauna Stilo Fabricantes,https://www.saunastilo.mx/,manufacturer_installer,core,probable,true,"Publicly claims manufacturing and projects; exact wood construction details not well exposed","heater/equipment service offered; exact traditional stove/stone details not publicly exposed","not stated","manufacture, project wellness, repair, service and maintenance","whole Republic claimed",Xochimilco,CDMX,PENDIENTE,PENDIENTE,55 1819 7596,Ángel Zaldívar,strategic direction named on own site; legal name wording needs verification,PENDIENTE,experience years not published,"Sports World; Betterware; Teva Wellness and other client logos; gallery",4,"editorial premium project tier; no public price","B","https://www.saunastilo.mx/; https://www.saunastilo.mx/contact; https://www.saunastilo.mx/nosotros; https://www.saunastilo.mx/blank; https://www.allbiz.mx/sauna-stilo-55-5489-9092","Current site is unusually marketing-heavy and has a temporary contact notice. Confirm current email, legal entity, traditional-hot construction, and project-image rights.",2026-07-27
mx-009,Saunatec,Saunatec,https://www.saunatec.com.mx/,manufacturer_installer,core,probable,true,"Design, fabrication and installation; national and imported woods; traditional/residential/commercial pages","traditional sauna offered; heater/stones not specified in accessible text","poplar; red cedar; walnut","design, fabrication, installation, post-sale, spare parts and maintenance","whole Mexico service claimed",Ciudad de México,CDMX,PENDIENTE,PENDIENTE,55 7461 4513,PENDIENTE,PENDIENTE,PENDIENTE,experience years not published,"residential and commercial sauna solutions; no named project list",3,"editorial mid-market custom tier; no public price","A","https://www.saunatec.com.mx/; https://www.saunatec.com.mx/instalacion-saunas-residenciales/; https://www.saunatec.com.mx/instalacion-saunas-comerciales/; https://www.saunatec.com.mx/contacts/","Good national-service candidate. Confirm exact heater/stove configuration, years in business, and named projects.",2026-07-27
mx-010,EQUIP SPA,Equip Spa; Vapores y Saunas,https://www.vaporesysaunas.com.mx/,manufacturer_installer,core,verified,true,"Design, construction and installation using premium cedar, oak, poplar and walnut","sauna thermal unit with volcanic stones; electric equipment components; wood stove not confirmed","cedar; oak; poplar; walnut","design, fabrication, installation, maintenance and spare parts","whole Mexico claimed; presence in Qro, Cancún and project cities",Querétaro,Querétaro,"Cancún / Quintana Roo; CDMX; Guadalajara; Monterrey; Los Cabos; Puerto Vallarta",cotizaciones.saunaysauna@gmail.com,442 492 9573; 442 563 8138,PENDIENTE,PENDIENTE,PENDIENTE,20+ years claimed,"Fairmont; Secrets; Iberostar; Careyes; Lomas Anáhuac; Valle de Bravo; Zapopan; Guadalajara; Polanco; Querétaro",5,"editorial luxury project tier based on hotel/resort portfolio and premium materials; no public price","A","https://www.vaporesysaunas.com.mx/","Strong high-end project supplier. Verify legal company name and request permission/licence for portfolio images.",2026-07-27
